Open,High,Low,P/E Ratio,Google Trends,Price Change
3001.300048828125,3011.800048828125,2981.35009765625,29.430048,62,-0.0483873503945658
3015.39990234375,3022.64990234375,2996.199951171875,29.430048,86,0.1619262581380885
3015.0,3046.14990234375,3005.449951171875,29.430048,34,0.8066784968336467
3013.949951171875,3015.0,2985.35009765625,29.430048,26,-0.9391036575845582
3014.949951171875,3074.800048828125,2988.0,29.430048,57,1.5054693367687555
3083.949951171875,3083.949951171875,3006.949951171875,29.430048,46,-0.6938881226836207
3031.64990234375,3053.35009765625,3012.800048828125,29.430048,42,0.4321565966760493
3041.64990234375,3045.0,3015.300048828125,29.430048,42,-0.4352397441095883
2995.89990234375,3034.0,2995.89990234375,29.430048,67,0.3377914572128934
1519.7249755859375,1526.0250244140625,1487.5,25.243269,21,0.3377914572128934
1494.949951171875,1498.0999755859375,1461.375,25.243269,28,-1.92
1466.050048828125,1469.5,1456.25,25.243269,12,-0.13
1462.4000244140625,1471.9749755859375,1458.0,25.243269,24,-0.1
1464.4749755859375,1468.5,1447.6500244140625,25.243269,15,-0.68
1459.375,1485.5,1446.1500244140625,25.243269,9,1.9
1477.199951171875,1483.0,1469.3499755859375,25.243269,72,-0.47
1478.75,1480.800048828125,1465.0,25.243269,75,-0.05
1474.3499755859375,1477.0,1466.9000244140625,25.243269,48,0.06
1470.0,1482.0,1461.0,25.243269,44,-0.62
1465.4749755859375,1476.5,1455.5999755859375,25.243269,49,0.45
1474.5,1495.574951171875,1471.7750244140625,25.243269,18,1.15
1490.050048828125,1501.375,1489.5999755859375,25.243269,61,0.51
1489.9749755859375,1500.0,1488.199951171875,25.243269,53,-0.31
1484.625,1496.800048828125,1480.25,25.243269,85,0.28
1492.4749755859375,1504.0,1488.050048828125,25.243269,3,0.44
1500.0,1533.449951171875,1492.0,25.243269,49,1.72
1518.0,1522.1500244140625,1475.0,25.243269,30,-3.23
1481.3499755859375,1489.0,1463.0,25.243269,51,-0.81
1435.1500244140625,1449.9749755859375,1387.5,25.243269,39,-3.91
1407.0,1417.9749755859375,1383.0,25.243269,8,-1.47
1399.9749755859375,1399.9749755859375,1361.449951171875,25.243269,89,-1.18
1380.0,1401.375,1364.300048828125,25.243269,55,2.01
1401.3499755859375,1401.3499755859375,1372.074951171875,25.243269,85,-1.64
1382.175048828125,1386.0,1370.0,25.243269,100,-0.29
1371.0,1383.5250244140625,1369.0,25.243269,97,0.01
1380.8499755859375,1380.8499755859375,1368.25,25.243269,57,0.11
1359.4749755859375,1372.0,1340.625,25.243269,69,-2.09
1343.949951171875,1364.2750244140625,1338.0,25.243269,86,0.75
1369.3499755859375,1369.3499755859375,1352.5,25.243269,94,0.2
1353.324951171875,1368.0,1341.5999755859375,25.243269,96,0.15
1369.824951171875,1374.0,1358.0250244140625,25.243269,60,0.76
1369.949951171875,1375.949951171875,1340.4000244140625,25.243269,89,-1.86
1340.5,1357.5,1335.5,25.243269,33,-0.36
1337.5,1343.800048828125,1323.5,25.243269,82,0.08
1343.8499755859375,1343.8499755859375,1322.5,25.243269,22,-0.91
1338.0,1353.1500244140625,1322.0,25.243269,8,0.5
1334.300048828125,1342.9000244140625,1320.5,25.243269,49,0.35
1341.9000244140625,1342.9000244140625,1326.050048828125,25.243269,3,-0.47
1339.8499755859375,1341.0,1334.300048828125,25.243269,49,0.49
1337.0,1338.5999755859375,1285.0999755859375,25.243269,37,-2.77
1311.8499755859375,1328.449951171875,1300.300048828125,25.243269,60,1.81
1322.1500244140625,1324.0,1303.199951171875,25.243269,6,-1.5
1302.6500244140625,1302.800048828125,1278.0,25.243269,89,-1.66
1282.5999755859375,1285.949951171875,1266.3499755859375,25.243269,13,-0.85
1275.0,1289.4000244140625,1269.0,25.243269,75,0.0
1269.5,1275.0,1249.699951171875,25.243269,18,-1.64
1254.550048828125,1272.5,1252.25,25.243269,78,1.23
1266.550048828125,1273.0999755859375,1244.0,25.243269,49,-0.56
1259.050048828125,1281.0,1235.449951171875,25.243269,72,-1.53
1247.050048828125,1247.050048828125,1217.699951171875,25.243269,95,-1.46
