Date,Open,High,Low,P/E Ratio,Google Trends,Price Change,Closing Price
2015-01-01,150.27840385561623,156.60174921297798,148.69755997825354,16.6942,69,,154.62570190429688
2015-01-02,156.0089379661975,162.52990049045772,156.0089379661975,16.6942,100,3.4824321190500864,160.01043701171875
2015-01-05,162.08526440772673,164.80232913695212,159.26939129429422,16.6942,0,0.5248394975455931,160.85023498535156
2015-01-06,160.05983567349813,160.99845515143622,149.19157522653222,16.6942,0,-6.357484304150432,150.62420654296875
2015-01-07,152.1556656153704,152.8966834673933,146.91913644586583,16.6942,50,-1.311893013570238,148.64817810058594
2015-01-08,150.2784132202008,156.1077471136466,150.2784132202008,16.6942,63,4.652699442721458,155.5643310546875
2015-01-09,156.8981703222621,159.41763383264114,149.83379165292297,16.6942,94,-2.9850719917010817,150.92062377929688
2015-01-12,150.97000701272563,151.46401880591122,146.32629917198975,16.6942,0,-2.1931436028913525,147.6107177734375
2015-01-13,148.30237407774524,153.6871006152204,145.98051218516005,16.6942,0,-0.30118414491241097,147.1661376953125
2015-01-14,147.46253242622652,149.88318739724372,143.7080394731974,16.6942,51,-1.3763131591716886,145.1406707763672
2015-01-15,147.2155183596973,151.7110288147492,145.53588123254713,16.6942,80,3.1313804682725572,149.68557739257812
2015-01-16,148.8951639806164,152.35324682391692,147.06732923764156,16.6942,69,-0.33002731759708714,149.1915740966797
2015-01-19,152.9460583311896,152.9460583311896,148.00594026542794,16.6942,0,0.3311201043956488,149.68557739257812
2015-01-20,149.24097044505714,155.61371976299978,149.24097044505714,16.6942,0,2.5742538528331993,153.5388641357422
2015-01-21,155.11972460458009,155.5643322649892,149.4385881939028,16.6942,62,-1.705262293806311,150.92062377929688
2015-01-22,150.52541886984176,153.143675681724,149.53739515576612,16.6942,78,0.5237326168108454,151.71104431152344
2015-01-23,153.835280507246,158.08378525107764,150.17959598852377,16.6942,97,3.12601363736713,156.45355224609375
2015-01-27,156.45355520258542,158.97300351679863,154.72451376872817,16.6942,0,0.2841805694534659,156.89816284179688
2015-01-28,156.89816991289055,156.89816991289055,152.30385056452886,16.6942,0,-2.392944580090519,153.1436767578125
2015-01-29,152.7978470312766,156.60174400438754,149.73498285031877,16.6942,67,1.451602682389664,155.36671447753906
2015-01-30,155.56432111895694,158.38019455986932,150.17959522637796,16.6942,60,0.9538982723919879,156.8487548828125
2015-02-02,156.79935014420283,158.3801940136569,151.80982769953565,16.6942,0,-2.456689405053292,152.99546813964844
2015-02-03,153.63767834211347,153.98349265175793,149.24097609286963,16.6942,0,-1.7113388428169518,150.377197265625
2015-02-04,149.88317895093707,157.24395184639266,148.1047334338228,16.6942,100,1.0183944995088847,151.90863037109375
2015-02-05,152.8472556924734,152.8472556924734,142.27540564903845,16.6942,100,-4.8780451055920535,144.4984588623047
2015-02-06,144.74546075205532,145.48647846921602,138.47150471634384,16.6942,72,-2.8376053646461807,140.39816284179688
2015-02-09,139.21251122910644,143.36222217205568,136.5448506772411,16.6942,0,-0.10557394338567398,140.24993896484375
2015-02-10,139.31132240621463,142.8682132640246,138.32329884305,16.6942,0,0.4579161870527078,140.8921661376953
2015-02-11,141.58378751789448,152.25444561076557,140.0029436981936,16.6942,84,5.960734970854525,149.29037475585938
2015-02-12,151.41461903059565,152.9460586493765,143.95503772056796,16.6942,87,-2.713439045844119,145.23947143554688
2015-02-13,146.72150947034078,151.11821162107816,145.04187230979485,16.6942,100,3.3673467029276094,150.13018798828125
2015-02-16,151.16761960481344,152.79785260934946,147.70953680339613,16.6942,0,0.03291007601231516,150.17959594726562
2015-02-18,151.61221346569658,155.71252031774645,149.29036712696194,16.6942,0,2.3026222875646325,153.63766479492188
2015-02-19,153.1436593482036,198.39514364178478,146.22749408731698,16.6942,100,25.594862465211836,192.9610137939453
2015-02-20,203.03885407985723,205.5089131319236,183.37719005582636,16.6942,98,-0.7168493359859995,191.57777404785156
2015-02-23,188.66310158081055,191.77538493634745,183.87119621276454,16.6942,19,-1.6245486645776055,188.4654998779297
2015-02-24,187.7738981817174,188.61370924075544,178.0912633715504,16.6942,0,-4.534722123829321,179.9191131591797
2015-02-25,179.9191309248802,185.35326155046798,179.9191309248802,16.6942,68,0.3569532783786931,180.56134033203125
2015-02-26,180.80832817809485,184.56282106804017,179.52389441626562,16.6942,68,0.8755062422316473,182.1421661376953
2015-02-27,182.88317502216177,204.32328420101487,181.79634302798996,16.6942,100,5.044739956516236,191.3307647705078
2015-03-02,192.66460824191694,192.66460824191694,181.69753989619014,16.6942,50,-2.71107395430899,186.14364624023438
2015-03-03,186.8352709541616,193.01041852567613,186.24245075687864,16.6942,30,2.362000178701561,190.5403594970703
2015-03-04,193.85024058421754,198.59275720430543,182.2903666875341,16.6942,59,-2.0482246976176426,186.63766479492188
2015-03-05,186.7364446288609,189.89811686662784,180.01788170107963,16.6942,61,-1.826376615237102,183.2289581298828
2015-03-09,192.7634138527654,198.49393877486008,189.40412450680083,16.6942,0,4.7721898889357375,191.97299194335938
2015-03-10,192.71400651808892,197.60472033107425,180.0178972063999,16.6942,0,-2.4446747362043926,187.27987670898438
2015-03-11,185.64963833166388,190.58975659568947,183.87120781745028,16.6942,0,0.5011906067458428,188.218505859375
2015-03-12,189.7005459700772,194.0478441181402,189.65114177102186,16.6942,55,1.968506426545153,191.92359924316406
2015-03-13,193.15861609255919,193.94903799714928,182.8831765610196,16.6942,55,-4.092668850655177,184.0688018798828
2015-03-16,177.84425432202696,190.19454976105658,175.27538684029108,16.6942,22,2.1202369235255882,187.97149658203125
2015-03-17,184.7604344735183,185.35325473219376,154.97152553400826,16.6942,0,-8.515102809504095,171.9655303955078
2015-03-18,174.88020221046003,181.59876666652303,171.32331071135437,16.6942,55,0.8618241119978264,173.44757080078125
2015-03-19,173.05234807613377,174.97900638594405,169.6436692662352,16.6942,35,-1.082320318534432,171.5703125
2015-03-20,172.90414353604103,173.20055365445467,160.6526559673338,16.6942,29,-5.010080014002095,162.97450256347656
2015-03-23,149.1915640964403,154.5268855237763,138.57031036109768,16.6942,21,-6.304944330880279,152.6990509033203
2015-03-24,157.24395030200418,158.08377639451754,152.4520448756716,16.6942,0,1.4558394209818148,154.92210388183594
2015-03-25,153.14366508932676,154.57629636043737,150.67360597498276,16.6942,100,-2.4234670133630782,151.16761779785156
2015-03-26,150.1301950026316,151.66163472022726,147.16612396575422,16.6942,81,-1.8300640532007875,148.40115356445312
2015-03-27,157.58976420019843,158.08377600019904,152.6496462001922,16.6942,94,4.527290707901544,155.1197052001953
2015-03-30,157.09575497759135,158.5283862058889,152.30383440854914,16.6942,0,-0.8917142316119783,153.73648071289062
2015-03-31,156.25594250010988,159.4176304085445,153.44008399396972,16.6942,0,0.6426822734547963,154.72451782226562
2015-04-01,154.72450432910188,155.36671364922162,152.79784621665476,16.6942,100,-0.6385782442766912,153.73648071289062
2015-04-06,154.1316827114102,154.87270041675353,150.87120179269084,16.6942,0,-0.9318853263941009,152.3038330078125
2015-04-07,153.14366588108058,167.51941301609415,151.51343288760302,16.6942,0,7.233225372353172,163.3203125
2015-04-08,164.40712063942988,165.88915603609314,160.65264302871782,16.6942,0,-0.9376962000717531,161.7888641357422
2015-04-09,161.78886503881,162.5792869366511,157.5897647248256,16.6942,100,-1.618316334205571,159.1706085205078
2015-04-10,160.05983360520256,160.94904887259136,154.92211356641732,16.6942,62,-2.0794514257667114,155.86073303222656
2015-04-13,155.02090509470523,162.92509431714618,153.04485778909498,16.6942,0,0.6339132579221535,156.8487548828125
2015-04-15,155.1197144913058,159.66462935395302,155.02090609496994,16.6942,0,-0.37795595783345853,156.2559356689453
2015-04-16,156.99695502209426,161.2454598153133,153.93409069287662,16.6942,88,-0.5058401590017723,155.4655303955078
2015-04-17,158.67659645814422,160.01041927476848,156.60174086422595,16.6942,76,1.0803851249667642,157.14515686035156
2015-04-20,157.9849599522992,159.86221374693787,150.77240008271562,16.6942,0,-2.7664362322689398,152.79783630371094
2015-04-21,154.13168224489144,155.31730755464338,149.43857012525532,16.6942,0,-1.5195492521839202,150.4759979248047
2015-04-22,151.16761859108385,153.2424742884381,146.77091635968935,16.6942,100,0.19698639013263067,150.7724151611328
2015-04-23,151.51344883562982,154.72452603887038,150.97003275525682,16.6942,100,1.081264780228683,152.4026641845703
2015-04-24,152.6496537333787,152.6496537333787,145.2888805653276,16.6942,82,-3.7277250854812656,146.7215118408203
2015-04-27,146.72150177316567,148.99395902459173,143.11522173306415,16.6942,0,-2.0202087433249987,143.75743103027344
2015-04-28,144.2514390626074,145.09126511496444,140.3487490346838,16.6942,0,-1.5807606752665533,141.48497009277344
2015-04-29,141.97899300052867,145.58528830542758,141.88019968288745,16.6942,64,1.6759920533706687,143.8562469482422
2015-04-30,133.38319711588665,140.69456633478393,133.38319711588665,16.6942,84,-4.15521688442953,137.8787078857422
2015-05-04,138.37270322949604,142.0777915965334,138.37270322949604,16.6942,43,2.0422599819677227,140.69454956054688
2015-05-05,141.28739587708264,145.6346943351899,140.10177039542123,16.6942,0,3.125027791159711,145.09129333496094
2015-05-06,144.5478690850774,146.52391646812413,130.91313912684592,16.6942,0,-8.307810223960093,133.03738403320312
2015-05-07,128.49248735670514,136.3966770893616,127.3562510370085,16.6942,100,1.70813711800951,135.30984497070312
2015-05-08,136.34725884571645,138.27390187941455,130.61671886452828,16.6942,71,-2.081054924711869,132.4939727783203
2015-05-11,134.0747948184819,136.199054529859,131.950550183148,16.6942,0,1.155839631469085,134.025390625
2015-05-12,134.37120718688394,134.66761727676956,127.45504211108845,16.6942,0,-4.2019867278238445,128.39366149902344
2015-05-13,129.97451207853322,134.66762434041684,129.28289854988552,16.6942,75,3.6937362312044093,133.1361846923828
2015-05-14,131.40714390893106,140.24995245751867,131.40714390893106,16.6942,64,2.894244530190839,136.98947143554688
2015-05-15,137.48350712824342,140.1017792703175,133.58081609403337,16.6942,55,-1.6948916553850624,134.6676483154297
2015-05-18,135.35923688726908,136.74246393453154,133.9760098400066,16.6942,0,0.8070178738414783,135.7544403076172
2015-05-19,135.35925146007673,138.81733452657505,135.16164972862884,16.6942,0,0.29113828866391667,136.14967346191406
2015-05-20,136.34727288832337,137.53289833301275,133.4820101406536,16.6942,100,-0.6168420899267655,135.30984497070312
2015-05-21,135.6556529668288,135.70505716555982,132.6421777567732,16.6942,99,-0.511137880023898,134.61822509765625
2015-05-22,134.81582794555067,140.49696409816605,133.7784000676902,16.6942,99,1.064218790026229,136.0508575439453
2015-05-25,136.34726070006403,136.84127251419469,132.59276789746212,16.6942,0,-1.8518591211598534,133.53138732910156
2015-05-26,134.27242544277098,135.0628474806333,131.90117440523034,16.6942,0,-0.40693109550750856,132.98800659179688
2015-05-27,131.40714944467095,132.04935880627582,125.38020650406122,16.6942,88,-3.9376045120522027,127.75146484375
2015-05-28,123.20654248384754,127.1586369665759,116.68558809495018,16.6942,79,-8.314003764786822,117.13020324707031
2015-05-29,117.97003173828125,119.1556571676016,108.48500568965046,16.6942,100,0.7170042123460103,117.97003173828125
2015-06-01,117.67361108990575,120.63768193619065,114.61073938968242,16.6942,0,-2.2613190771416494,115.30235290527344
2015-06-02,115.59876316478892,116.6855876356569,111.79487374774001,16.6942,0,-1.928020480503093,113.07929992675781
2015-06-03,112.93111265246169,112.93111265246169,97.71554606687211,16.6942,44,-6.596754855942673,105.61973571777344
2015-06-04,106.45955562295732,107.00297168310959,102.16165395692043,16.6942,69,-0.6548206813307628,104.92811584472656
2015-06-05,104.63170808800203,108.04038673192785,102.21104557536826,16.6942,64,0.7062097391882493,105.66912841796875
