Date,Open,High,Low,P/E Ratio,Google Trends,Price Change,Closing Price
2015-04-08,40341.68602945014,40508.28130212576,39973.00773370646,23.193024,0,0.6228248647547399,40283.671875
2015-04-09,40357.464313868055,40524.94526473245,39923.77513713095,23.193024,77,-0.08293721673056896,40250.26171875
2015-04-10,40318.02752936146,40860.20149369272,39874.576974813746,23.193024,100,1.2138799175121824,40738.8515625
2015-04-13,40908.514757219724,41392.52836588005,40712.346308903216,23.193024,0,1.2805554740531968,41260.53515625
2015-04-15,41353.09061528367,41382.613684576296,40815.8955157915,23.193024,0,-0.7049335979248482,40969.67578125
2015-04-16,40910.48155757293,41146.08082246438,40426.12144490237,23.193024,87,-0.0036040375517830117,40968.19921875
2015-04-17,41091.133608615826,41288.63441103838,40120.93835273017,23.193024,89,-1.311592766455003,40430.86328125
2015-04-20,40801.06482038359,40801.06482038359,39187.40762826242,23.193024,53,-2.689061892982629,39343.65234375
2015-04-21,39430.84594226272,39759.05767604092,38371.242074946684,23.193024,0,-2.1125449576671906,38512.5
2015-04-22,38828.54537261427,38936.9802146003,37657.94196481058,23.193024,95,-0.8408187276858162,38188.6796875
2015-04-23,38425.35688067376,40031.1779776111,38396.276633675814,23.193024,100,3.289485124334334,39444.890625
2015-04-24,39682.209002081785,39813.31653648191,38150.37102724489,23.193024,69,-2.6733104295431165,38390.40625
2015-04-27,38346.48415680752,38642.11527974441,36473.519635009725,23.193024,0,-4.612470319326198,36619.66015625
2015-04-28,36656.44168698443,37508.54069460532,36153.20553509069,23.193024,0,0.4493082555871787,36784.1953125
2015-04-29,36818.54820893567,37089.635243941215,36355.23582183527,23.193024,63,-0.7759574052799936,36498.765625
2015-04-30,36398.61511937645,36561.26736438504,35884.18888785,23.193024,100,-0.9762102399867119,36142.4609375
2015-05-04,36473.52943455226,37410.01194706104,36277.36099245832,23.193024,0,3.1342549611076826,37275.2578125
2015-05-05,37274.95943395477,37556.78982720692,37104.86387498323,23.193024,0,0.18114814346731756,37342.78125
2015-05-06,37153.70378996225,37311.42712788728,35646.36002456312,23.193024,0,-4.055000589973464,35828.53125
2015-05-07,35783.33748198158,35783.53386602882,34208.22190310367,23.193024,78,-3.693961603575363,34505.0390625
2015-05-08,34785.87984215475,35635.614268133475,34784.844012685724,23.193024,93,2.5693258117870013,35391.5859375
2015-05-11,35588.315248753934,36348.78774322182,35498.75638644459,23.193024,0,2.264662570972135,36193.0859375
2015-05-12,36182.73077921209,36324.63176893854,34704.61696912815,23.193024,0,-3.5757541743880212,34898.91015625
2015-05-13,35044.15688921107,35813.05822180136,34759.269087776986,23.193024,100,2.0842901053164606,35626.3046875
2015-05-14,36068.374494415635,36068.374494415635,34896.2927957122,23.193024,64,0.8624684139857159,35933.5703125
2015-05-15,36164.98906195891,36276.38121078551,35783.49559650853,23.193024,51,0.16819230450634057,35994.0078125
2015-05-18,35931.35359838553,36818.54751439505,35931.35359838553,23.193024,0,1.8450445202141939,36658.11328125
2015-05-19,36572.09507990677,36747.11944792259,35488.83313544826,23.193024,0,-2.601860497926523,35704.3203125
2015-05-20,35833.76296232984,36015.09477443386,35148.652091684766,23.193024,51,-0.8218980852500999,35410.8671875
2015-05-21,35576.48178157109,35753.92059344925,35137.8136077612,23.193024,73,-0.4430247511853595,35253.98828125
2015-05-22,35478.889706236594,35488.74741780511,35073.78781946225,23.193024,77,-0.24425427929752186,35167.87890625
2015-05-25,35167.38955905762,35586.3423428726,34994.87958925145,23.193024,0,-0.2894042714981944,35066.1015625
2015-05-26,35290.59565226466,35468.034401354256,34995.85017461027,23.193024,0,-0.03700600272565585,35053.125
2015-05-27,35083.59315508526,35435.46337614878,34618.65575993265,23.193024,95,0.5114223945796559,35232.39453125
2015-05-28,35241.31809181455,35487.76087567339,34778.00565815992,23.193024,59,-1.0051451894247272,34878.2578125
2015-05-29,34807.57242981979,35489.72593085166,34807.57242981979,23.193024,65,1.3922310572690677,35363.84375
2015-06-01,35684.91881770274,35862.35764055319,35350.249482382016,23.193024,0,0.4320929833878706,35516.6484375
2015-06-02,35635.61447036764,35683.917239635906,33854.326632249955,23.193024,0,-3.930177111042335,34120.78125
2015-06-03,34303.84961146475,34491.14612648467,33397.87588275705,23.193024,73,0.39178378279366044,34254.4609375
2015-06-04,34402.42071697148,34501.883466521904,33516.21262434541,23.193024,70,-0.12131175433126754,34212.90625
2015-06-05,34009.09759200952,34290.97802351177,33713.366308600744,23.193024,75,-1.0181076585681756,33864.58203125
2015-06-08,33864.58208983824,33909.53478526124,33280.612921457156,23.193024,0,-1.5167256812029253,33350.94921875
2015-06-09,33235.271962037776,33574.377213556116,32039.53164200361,23.193024,0,-3.1539230693279325,32299.0859375
2015-06-10,32530.44408647907,32998.83165250548,32431.866983186712,23.193024,60,1.5865749877306417,32811.53515625
2015-06-11,33057.827970941624,33269.768719823456,31229.22290500762,23.193024,71,-4.292459552084448,31403.11328125
2015-06-12,31539.746096605217,31692.442423861896,30913.781453025145,23.193024,100,0.06797942630339822,31424.4609375
2015-06-15,31456.053705446713,32027.99924763804,31053.81096696985,23.193024,52,1.0700138800113665,31760.70703125
2015-06-16,31741.832298136647,32027.705943057754,31447.086712511093,23.193024,0,0.5652006379246369,31940.21875
2015-06-17,31984.86367732681,33057.77512128128,31984.86367732681,23.193024,75,1.9483480858283102,32562.525390625
2015-06-18,32678.305622639393,32875.459804374776,32343.143513689243,23.193024,96,-0.07930656004166983,32536.701171875
2015-06-19,32530.49097529033,33194.25752522907,32530.49097529033,23.193024,94,0.6635115357410991,32752.5859375
2015-06-22,32826.17268948804,33466.92380805162,32431.864308833534,23.193024,0,1.764161751541088,33330.39453125
2015-06-23,33368.351162324376,33949.95610134273,33332.863403333424,23.193024,0,1.2302139294077605,33740.4296875
2015-06-24,33739.968241144714,34057.38635472898,33087.53446958712,23.193024,100,-1.2269914501218515,33326.4375
2015-06-25,33122.40729845592,33545.79605560794,33023.33728659613,23.193024,50,-0.1393882109361374,33279.984375
2015-06-26,33299.34743424436,33486.643941423354,33023.33152892794,23.193024,55,-0.05245504641256311,33262.52734375
2015-06-29,32826.17190911817,33023.32609475852,32137.0679716252,23.193024,0,-1.520937776380539,32756.625
2015-06-30,32530.447223116757,33910.57686096938,32451.83197566089,23.193024,0,3.013619859341431,33743.78515625
2015-07-01,33712.37981670616,34669.56338353624,33546.91662691034,23.193024,88,1.5351437978914866,34261.80078125
2015-07-02,34354.11577629988,34733.63757181997,34200.18919092933,23.193024,86,0.14830656545002002,34312.61328125
2015-07-03,34501.99594032741,34697.1786602184,34166.88375274941,23.193024,92,0.15202590975052563,34364.77734375
2015-07-06,33516.21889333387,34442.793709929254,33306.69246655963,23.193024,0,-0.06656525014313916,34341.90234375
2015-07-07,34501.98933627178,34995.51410918166,34341.30864307714,23.193024,0,0.759515383391304,34602.734375
2015-07-08,34600.561142375154,34847.00388555446,34206.20269460605,23.193024,70,-0.49613356964654615,34431.05859375
2015-07-09,34500.993829875086,34994.86502358826,34500.993829875086,23.193024,100,0.68210353774203,34665.9140625
2015-07-10,34796.725922694546,35093.44295441587,34581.777814465255,23.193024,70,0.0954084715330734,34698.98828125
2015-07-13,34896.27982857103,35280.73036905529,34355.38826136147,23.193024,0,1.4620495621889191,35206.3046875
2015-07-14,35437.337432003944,35437.337432003944,34847.00689376409,23.193024,0,-0.6394673184201959,34981.171875
2015-07-15,35093.45107999151,35377.35315614425,35014.58939217131,23.193024,48,0.45285521899057307,35139.5859375
2015-07-16,35389.172936008086,35751.936602873015,35093.44168584646,23.193024,95,1.274982119302327,35587.609375
2015-07-17,35683.93403497146,35881.08828804459,35596.20039235392,23.193024,85,0.32246564047265397,35702.3671875
2015-07-20,35852.501263713,36227.09434812902,35690.93489204433,23.193024,0,1.0514227544873491,36077.75
2015-07-21,36059.501322544675,36320.73062408853,35498.8440951746,23.193024,0,-1.2122365065726104,35640.40234375
2015-07-22,35783.337697590774,36026.919378982864,35684.90693198785,23.193024,100,0.5631227639190644,35841.1015625
2015-07-23,36005.23582609955,37754.97935643468,36005.23582609955,23.193024,52,4.774143076395575,37552.20703125
2015-07-24,37612.39268745143,38642.1769231163,37612.39268745143,23.193024,45,1.1479539162405672,37983.2890625
2015-07-27,38149.34045005221,39529.4199495373,37460.28647138073,23.193024,0,1.1796820188812474,38431.37109375
2015-07-28,38826.5682373955,39007.85001139058,38357.39122926257,23.193024,0,0.7695129436797392,38727.10546875
